City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
83,Cayenne,GF,4.9333,-52.3333,80.64,99,5.75,overcast clouds
84,Magistralnyy,RU,56.1725,107.4458,48.74,100,3.85,overcast clouds
85,Ak-Dovurak,RU,51.1833,90.6,48.13,60,4.12,broken clouds
86,Taltal,CL,-25.4,-70.4833,62.28,34,3.89,scattered clouds
87,Niono,ML,14.2526,-5.993,104.18,84,4.85,broken clouds
88,Bonavista,CA,48.6499,-53.1147,60.8,19,13.58,few clouds
89,Okhotsk,RU,59.3833,143.3,44.83,1,4.88,clear sky
90,Havoysund,NO,70.9963,24.6622,49.08,100,11.65,light rain
91,Vao,NC,-22.6667,167.4833,73.0,98,13.4,overcast clouds
92,Beloha,MG,-25.1667,45.05,68.2,0,7.72,clear sky
93,Placido De Castro,BR,-10.3353,-67.1856,82.62,69,4.76,broken clouds
94,Furstenwalde,DE,52.3667,14.0667,71.01,79,14.99,broken clouds
95,Fairbanks,US,64.8378,-147.7164,64.22,40,0.0,scattered clouds
96,Zarubino,RU,42.63,131.0922,59.38,76,4.18,broken clouds
97,Hobart,AU,-42.8794,147.3294,55.26,90,1.01,overcast clouds
98,Kaitangata,NZ,-46.2817,169.8464,49.93,100,5.08,moderate rain
99,East London,ZA,-33.0153,27.9116,68.67,100,5.3,overcast clouds
100,Nanortalik,GL,60.1432,-45.2371,38.98,79,8.28,broken clouds
101,Sawtell,AU,-30.3833,153.1,45.19,6,5.75,clear sky
102,San Policarpo,PH,12.1791,125.5072,80.64,100,9.71,overcast clouds
103,Yairipok,IN,24.6667,94.0667,70.2,98,1.92,overcast clouds
104,Kisanga,TZ,-7.4362,37.7034,70.57,71,4.65,broken clouds
105,Makakilo City,US,21.3469,-158.0858,75.56,1,5.75,light intensity drizzle
106,Mount Isa,AU,-20.7333,139.5,53.37,62,0.0,broken clouds
107,Georgetown,MY,5.4112,100.3354,84.88,40,0.0,scattered clouds
108,Barrow,US,71.2906,-156.7887,30.22,90,3.44,overcast clouds
109,Seoul,KR,37.5683,126.9778,69.28,71,0.25,broken clouds
110,Fortuna,US,40.5982,-124.1573,73.92,40,7.0,scattered clouds
111,Isiro,CD,2.7739,27.616,72.64,89,2.17,overcast clouds
112,Zelenogorskiy,RU,55.0333,87.0,57.72,100,4.41,overcast clouds
113,Acajutla,SV,13.5928,-89.8275,83.8,58,8.43,light rain
114,Khuzhir,RU,53.1939,107.3397,47.19,96,4.21,overcast clouds
115,Turukhansk,RU,65.8167,87.9833,42.96,100,6.51,overcast clouds
116,Itacare,BR,-14.2775,-38.9967,84.09,96,7.47,overcast clouds
117,Calama,CL,-22.4667,-68.9333,73.89,0,6.91,clear sky
118,Mar Del Plata,AR,-38.0023,-57.5575,66.87,14,8.99,few clouds
119,Kapaa,US,22.0752,-159.319,73.72,90,3.0,moderate rain
120,Narsaq,GL,60.9167,-46.05,55.62,34,9.6,scattered clouds
121,Gigmoto,PH,13.7796,124.39,79.99,100,5.28,overcast clouds
122,Rotava,CZ,50.2963,12.5734,68.31,99,14.88,overcast clouds
123,Cairo Montenotte,IT,44.4031,8.2746,84.81,16,4.79,few clouds
124,Kodiak,US,57.79,-152.4072,53.11,1,3.44,clear sky
125,Leningradskiy,RU,69.3833,178.4167,33.89,96,3.78,overcast clouds
126,Katobu,ID,-4.9408,122.5276,74.44,100,3.98,overcast clouds
127,Port-Gentil,GA,-0.7193,8.7815,78.8,91,8.77,overcast clouds
128,Luancheng,CN,37.8792,114.6517,77.16,35,0.94,scattered clouds
129,Kainantu,PG,-6.2887,145.8655,56.43,22,1.81,few clouds
130,Ghanzi,BW,-21.5667,21.7833,61.3,30,7.2,scattered clouds
131,Churapcha,RU,62.0025,132.4325,51.13,99,10.11,overcast clouds
132,Carnarvon,AU,-24.8667,113.6333,57.27,5,0.0,clear sky
133,Berdigestyakh,RU,62.0989,126.6992,41.65,96,4.63,overcast clouds
134,Ranong,TH,9.9658,98.6348,79.84,100,10.76,overcast clouds
135,Tezu,IN,27.9167,96.1667,78.96,58,3.56,broken clouds
136,Qaanaaq,GL,77.484,-69.3632,36.72,91,3.62,overcast clouds
137,Magaria,NE,12.9983,8.9099,99.18,94,6.2,overcast clouds
138,Garissa,KE,-0.4536,39.6401,79.88,100,18.19,overcast clouds
139,Clyde River,CA,70.4692,-68.5914,41.23,40,23.02,scattered clouds
140,Tiszavasvari,HU,47.9667,21.35,80.74,46,7.96,scattered clouds
141,Port Said,EG,31.2565,32.2841,78.78,0,6.91,clear sky
142,Liberal,US,37.0431,-100.921,79.07,90,13.8,overcast clouds
143,Yar-Sale,RU,66.8333,70.8333,59.16,74,5.93,broken clouds
144,Vila Velha,BR,-20.3297,-40.2925,71.55,90,13.8,overcast clouds
145,Ibra,OM,22.6906,58.5334,92.57,12,9.4,few clouds
146,Laguna,US,38.421,-121.4238,81.05,1,1.99,clear sky
147,Paamiut,GL,61.994,-49.6678,37.89,58,15.7,broken clouds
148,Asau,RO,46.4333,26.4,70.72,77,4.25,broken clouds
149,Sibolga,ID,1.7427,98.7792,78.15,100,2.24,light rain
150,Yinchuan,CN,38.4681,106.2731,81.52,97,9.22,overcast clouds
151,Butaritari,KI,3.0707,172.7902,82.02,47,9.82,light rain
152,Marsh Harbour,BS,26.5412,-77.0636,83.03,9,10.2,clear sky
153,Talnakh,RU,69.4865,88.3972,32.47,95,7.43,overcast clouds
154,Emilio Carranza,MX,19.9711,-96.6114,82.63,97,9.31,overcast clouds
155,Elk City,US,35.412,-99.4043,85.15,1,0.0,clear sky
156,Virden,US,39.5009,-89.7679,92.08,3,7.36,clear sky
157,Alexandria,EG,31.2156,29.9553,77.54,0,9.22,clear sky
158,Vardo,NO,70.3705,31.1107,56.98,53,13.56,broken clouds
159,Ergani,TR,38.2653,39.7621,81.32,29,5.44,scattered clouds
160,Payo,ID,-3.7508,103.6372,73.02,66,2.3,broken clouds
