City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Elk City,US,85.15,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
156,Virden,US,92.08,clear sky,39.5009,-89.7679,Virden Nail Spa
157,Alexandria,EG,77.54,clear sky,31.2156,29.9553,Royal Crown Hotel
159,Ergani,TR,81.32,scattered clouds,38.2653,39.7621,Serkan Hotel
160,Payo,ID,73.02,broken clouds,-3.7508,103.6372,Mess keban agung
161,Nikolskoye,RU,71.49,broken clouds,59.7035,30.7861,Tourist House - Sablino
162,San Pedro,PH,82.15,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
164,Aljezur,PT,73.35,broken clouds,37.3191,-8.8033,Amazigh Hostel
169,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
170,Estelle,US,92.05,scattered clouds,29.8458,-90.1067,Ohio
172,Lakatoro,VU,75.51,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
173,Jamestown,US,78.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
174,Puerto Maldonado,PE,75.6,broken clouds,-12.6,-69.1833,Wasai Hotel
176,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
179,Venado Tuerto,AR,72.77,clear sky,-33.7456,-61.9688,Hotel - Miro Park
181,Magomeni,TZ,76.48,overcast clouds,-6.8,39.25,Conway Hotel
184,Loa Janan,ID,74.55,broken clouds,-0.583,117.095,Pondok hijau 2A
185,Cuitzeo,MX,82.27,few clouds,20.3333,-102.7833,Hotel Home 1
187,Faanui,PF,79.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Oswego,US,77.95,overcast clouds,43.4501,-76.1497,S & E Mobile Home Park
189,Atuona,PF,78.66,few clouds,-9.8,-139.0333,Villa Enata
190,Lingao,CN,79.56,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
191,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
192,Lompoc,US,84.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
195,Muros,ES,87.67,clear sky,42.7762,-9.0603,Apartment Av. Castelao
196,Moerai,PF,72.34,light rain,-22.4333,-151.3333,Le Manotel
199,Martapura,ID,73.49,broken clouds,-3.4167,114.85,Montana Hotel Syariah
203,Banda Aceh,ID,80.83,overcast clouds,5.5577,95.3222,Sulthan Hotel International
209,Sigli,ID,79.75,overcast clouds,5.3848,95.9609,Losmen Dua Mali
212,Pangai,TO,75.76,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
214,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
215,Najran,SA,90.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
217,Mazatlan,MX,90.01,few clouds,23.2167,-106.4167,Hotel Club Playamar
220,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
226,Paita,PE,77.56,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
227,Dauphin,CA,71.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
230,Kerrville,US,88.61,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
234,Bentiu,SS,88.2,overcast clouds,9.2333,29.8333,Mandela hôtel
235,Essenbach,DE,76.68,overcast clouds,48.6167,12.2167,Hotel Luginger
236,Los Llanos De Aridane,ES,74.12,broken clouds,28.6585,-17.9182,Valle Aridane
238,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
242,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
243,Morgan City,US,91.99,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
249,Kieta,PG,77.14,clear sky,-6.2167,155.6333,Uruna Bay Retreat
250,Fort Atkinson,US,88.03,scattered clouds,42.9289,-88.8371,"Holiday Inn Express & Suites Fort Atkinson, an IHG Hotel"
252,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
256,Namibe,AO,73.53,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
258,Mola Di Bari,IT,81.21,clear sky,41.0609,17.0873,Hotel Gabbiano
259,Saint George,US,94.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
262,Saint-Philippe,RE,72.95,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
263,Bucak,TR,72.12,broken clouds,37.4592,30.595,Gülay Apart
265,Bandarbeyla,SO,79.7,broken clouds,9.4942,50.8122,JABIR HOTEL
266,Ambanja,MG,75.2,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
267,Pimentel,PE,71.89,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
271,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
272,Dingle,PH,77.07,light rain,10.9995,122.6711,SEGAYA PROPERTY
275,Tanabe,JP,71.92,moderate rain,33.7333,135.3667,美吉屋旅館
276,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
279,Shahpura,IN,92.53,clear sky,27.3833,75.9667,Shahpura Haveli
280,Lumberton,US,85.82,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
286,Half Moon Bay,US,75.47,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
290,Achutupo,PA,83.53,scattered clouds,9.2,-77.9833,Akwa Reef Lodge
292,Along,IN,75.43,broken clouds,28.1667,94.7667,Hotel West
295,Tayu,ID,79.39,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
296,Mucurapo,TT,90.01,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
297,Margherita,IN,77.13,broken clouds,27.2833,95.6833,Dehing Guest House
300,Bad Sooden-Allendorf,DE,71.15,overcast clouds,51.2833,9.9833,Waldhotel Soodener Hof
302,Amuntai,ID,73.29,broken clouds,-2.4177,115.2494,Hotel Balqis
303,Kenscoff,HT,75.34,broken clouds,18.4506,-72.2869,Auberzazage Sur La Montagne
305,Champerico,GT,90.95,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
308,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
311,Mattru,SL,82.49,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
314,Sao Filipe,CV,76.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
316,Barcelos,PT,83.68,few clouds,41.5388,-8.6151,Hotel Do Terço
317,Nakhon Thai,TH,75.02,moderate rain,17.1006,100.8374,Phet resort
319,Nacala,MZ,72.34,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
321,Presidencia Roque Saenz Pena,AR,74.44,clear sky,-26.7852,-60.4388,Hotel Gualok
322,Abu Dhabi,AE,91.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
324,Umarkot,PK,89.94,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
327,Malgrat De Mar,ES,91.15,few clouds,41.6466,2.7414,AQUA Hotel Aquamarina & Spa
328,Labuhan,ID,79.25,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
329,Sola,VU,79.5,overcast clouds,-13.8833,167.55,Leumerus Bungalows
331,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
333,Teknaf,BD,80.22,overcast clouds,20.8624,92.3058,Forestry Guesthouse
334,Karratha,AU,74.34,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
337,Cape Coast,GH,83.1,broken clouds,5.1053,-1.2466,Samrit Hotel
338,Sal Rei,CV,86.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
339,Necochea,AR,74.03,few clouds,-38.5473,-58.7368,dyd -mar Hotel
342,Odweyne,SO,81.07,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
343,Hobyo,SO,78.62,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
344,Namatanai,PG,79.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
345,Banikoara,BJ,94.1,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
346,Guiratinga,BR,87.55,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
348,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
350,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
351,Dharchula,IN,71.24,broken clouds,29.85,80.5333,Mahara Hotel
352,Paciran,ID,79.92,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
354,Puerto Del Rosario,ES,74.88,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
356,Kavieng,PG,81.91,clear sky,-2.5744,150.7967,Nusa Island Retreat
357,Sao Felix Do Xingu,BR,91.27,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
360,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,North Bend,US,72.25,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
367,Methoni,GR,78.66,broken clouds,36.8197,21.7049,Methoni Beach Hotel
369,Taybad,IR,89.71,clear sky,34.74,60.7756,لی پوش jean center
371,Kismayo,SO,77.61,overcast clouds,-0.3582,42.5454,Agan-Hotel
377,Leesburg,US,74.86,overcast clouds,39.1157,-77.5636,"Homewood Suites by Hilton Leesburg, VA"
378,Northam,GB,71.13,scattered clouds,51.0333,-4.2167,Durrant House Hotel
379,Erenhot,CN,75.0,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
382,Eyl,SO,80.38,overcast clouds,7.9803,49.8164,Amiin Hotel
384,Haldibari,IN,77.14,overcast clouds,26.3333,88.7667,Rahul and Debika
385,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
387,Iracoubo,GF,81.19,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
389,Fayetteville,US,82.54,overcast clouds,35.0527,-78.8784,American Eagle Inn
393,Ituacu,BR,87.53,overcast clouds,-13.8133,-41.2967,Hotel Alelos
395,San Cataldo,IT,71.46,broken clouds,37.4841,13.9854,Hotel Helios Inn
396,Gushikawa,JP,80.6,scattered clouds,26.3544,127.8686,Kirari Guest House
398,San Isidro,PE,70.02,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
399,Pechora,RU,73.72,overcast clouds,65.1472,57.2244,"Гоставя компания ""ВИЗИТ"""
400,Kaduna,NG,72.21,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
405,Kudahuvadhoo,MV,82.63,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
406,Chumphon,TH,74.82,overcast clouds,10.3333,98.8333,สกาน จ๋า.
407,Tuy Hoa,VN,80.76,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
408,Buraydah,SA,91.09,clear sky,26.326,43.975,فندق راحة السلام
412,Komsomolskiy,UZ,81.75,overcast clouds,40.4272,71.7189,Ikathouse
413,Berberati,CF,70.54,moderate rain,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
414,Bahir Dar,ET,72.19,moderate rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
415,Muli,MV,83.1,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
416,Piacabucu,BR,80.96,few clouds,-10.4056,-36.4344,Piaçabuçu News
417,Vengurla,IN,77.41,overcast clouds,15.8667,73.6333,Tripvillas @ Golven Resorts
419,Isangel,VU,72.37,overcast clouds,-19.55,169.2667,Tanna Lodge
423,Kawalu,ID,72.57,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
424,Omboue,GA,79.21,overcast clouds,-1.5746,9.2618,Hotel Olako
426,Santa Rosa,PH,82.9,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
427,Bardiyah,LY,73.67,clear sky,31.7561,25.0865,بورتو بردية
428,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
430,Poum,NC,74.34,broken clouds,-20.2333,164.0167,Gîte kajeon
431,Ratnagiri,IN,77.67,light rain,16.9833,73.3,Hotel Landmark
432,Zhanjiang,CN,80.24,light rain,21.2815,110.3427,创业旅店
433,Cockburn Town,TC,80.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
434,La Peca,PE,78.31,light rain,-5.6111,-78.435,Hospedaje San Miguelito
438,Porto Santo,PT,75.31,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
446,Sarangani,PH,80.69,overcast clouds,5.4033,125.4636,Ballistic Islet
448,Gazojak,TM,90.63,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
449,Zhuzhou,CN,80.73,scattered clouds,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
450,Brookings,US,79.21,clear sky,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
451,Roma,US,77.86,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
